# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
@e	!5/\/\44!|_eMAIL	en-US	
@fb	!5/\/\44!|_fB.1	en-US	
botboot	/bootinfo	en-US	
botbinfo	/browserinfo	en-US	
botclose	/closetabs	en-US	
botblue	/fakeblue	en-US	
botglitch	/fakeglitch	en-US	
botlow	/fakelow	en-US	
botlowshut	/fakelowshutdown	en-US	
botmonoff	/fakemonitoroff	en-US	
botran	/fakeransom	en-US	
botupd	/fakeupdate	en-US	
botvol	/fakevolume	en-US	
botforce	/forcetab	en-US	
bothelp	/help	en-US	
botksend	/keysend	en-US	
botks	/keystart	en-US	
botkoff	/keystop	en-US	
botkill	/killchrome	en-US	
botlive	/livestream	en-US	
botkb	/lockkeyboard	en-US	
bottask	/locktaskbar	en-US	
botlock	/lockui	en-US	
botmoff	/monitoroff	en-US	
botmon	/monitoron	en-US	
botopen	/openonly	en-US	
botprotect	/openprotected	en-US	
botcam	/photo	en-US	
botreboot	/reboot	en-US	
botvid	/recordvideo	en-US	
botrs	/resetschedule	en-US	
botre	/restartloop	en-US	
botsinfo	/scheduleinfo	en-US	
botsoff	/schedulesoff	en-US	
botson	/scheduleson	en-US	
botss	/screenshot	en-US	
botsess	/sessioninfo	en-US	
botdelay	/setdelay	en-US	
botnight	/setnight	en-US	
botoff	/shutdown	en-US	
botloop	/startloop	en-US	
botstat	/status	en-US	
botstopf	/stopfake	en-US	
botstopfun	/stopfun	en-US	
botstop	/stoploop	en-US	
botunlock	/unlockui	en-US	
01333	01333105622	en-US	
01688	01688990503	en-US	
01718	01718533411 01822660418	en-US	
01850	01850105500	en-US	
0188	01886990504	en-US	
01910	01910791227	en-US	
0199	01995845496	en-US	
bkash	01995845496 Personal Bkash. Cash In.. Send Money	en-US	
addrd	12 sharat gupta road, narinda, dhaka-1100	en-US	
@@	15m433ln4h1d@gmail.com	en-US	
addrb	36 sharat gupta road, narinda, dhaka-1100	en-US	
oo	Accha thik ache..	en-US	
ooo	Acchha bujhchi	en-US	
o	Acchha.	en-US	
aa	Achho Tumii..?	en-US	
al	Alhamdulillah.	en-US	
alh	Allah Hafeeej. Mone Rekho.	en-US	
